CORE_COURSE_NAME_1_F,Enrollment,DF_Rate,Retention_Rate
ENGL 1101,624,13.9,80.3
COMM 1110,278,24.1,82.4
HIST 2111,271,34.7,77.9
MATH 1111,226,44.7,81.4
CHEM 1211,202,32.7,79.2
ARTH 1100,183,28.4,76.0
HIST 2112,177,38.4,78.5
CHEM 1151,175,23.4,77.1
POLS 1101,105,36.2,80.0
ECON 2106,98,33.7,70.4
ECON 2105,90,33.3,73.3
PSYC 1101,85,36.5,75.3
CPSC 1301,74,47.3,74.3
BIOL 1215K,55,36.4,72.7
HIST 1111,54,37.0,74.1
BIOL 1125,50,28.0,84.0
ANTH 1105,48,0.0,81.2
MATH 1113,46,26.1,78.3
MUSC 1100,44,25.0,75.0
CPSC 1105,34,29.4,70.6
HIST 1112,34,44.1,82.4
HIST 1112I,31,35.5,74.2
MATH 1101,30,30.0,83.3
THEA 1100,29,34.5,75.9
ENVS 1105,29,41.4,86.2
ENGL 1102,28,14.3,85.7
ITDS 2735,23,26.1,73.9
CHEM 1151L,22,0.0,86.4
GEOL 1110,18,44.4,77.8
SOCI 1101,16,43.8,68.8
FREN 1001,14,21.4,71.4
ASTR 1105,13,23.1,84.6
COMM 1110I,12,25.0,83.3
SPAN 1001,11,36.4,63.6
SPAN 1002,11,45.5,81.8
CHEM 1211L,11,9.1,90.9
ENGL 1101I,11,27.3,81.8
STAT 1127,9,44.4,77.8
ANTH 1107,9,33.3,88.9
ANTH 1105I,9,0.0,100.0
CPSC 1301L,9,88.9,77.8
ARTH 1100I,9,11.1,66.7
GEOL 1121,8,75.0,100.0
MATH 1131,8,37.5,75.0
ITDS 2749,7,57.1,57.1
GEOG 1101I,7,28.6,71.4
POLS 1101H,7,0.0,85.7
ITDS 1155,6,33.3,83.3
PHYS 1125,6,50.0,83.3
ENVS 1105I,5,0.0,80.0
ITDS 2748,4,0.0,100.0
ITDS 1145,4,25.0,100.0
MATH 1125,4,25.0,75.0
MATH 1132,4,0.0,50.0
LEAD 1705,3,0.0,66.7
FREN 1002,3,33.3,100.0
ASTR 1305,2,100.0,100.0
GERM 1002,2,0.0,50.0
POLS 2401,2,0.0,100.0
COMM 1110H,2,0.0,100.0
ARAB 1001,1,0.0,100.0
GEOL 1121L,1,0.0,100.0
ENGL 2111,1,100.0,0.0
ITDS 2727,1,100.0,100.0
ITDS 1146,1,0.0,100.0
ITDS 2726,1,0.0,100.0
MATH 2125,1,0.0,100.0
PHYS 2311,1,100.0,100.0
THEA 1100I,1,0.0,100.0
